command    	explain          	fmt	abstract                                                                
-------    	-------          	---	--------                                                                
addcol     	full wiki entry  	   	adds columns to a table                                                 
blank      	full wiki entry  	*  	replaces all data in a record with spaces                               
check      	full wiki entry  	   	reports rows in which columns do not match head                         
column     	empty            	*  	display columns of a table in any order                                 
compute    	empty            	*  	calculates columns of a table                                           
cpdir      	empty            	   	                                                                        
datatype   	full wiki entry  	   	displays the datatype of each column selected                           
dbdict     	full wiki entry  	   	prints a database dictionary: the field names                           
fd         	testcase prepared	   	tests for functional dependency of columns                              
gregorian  	testcase prepared	*  	convert column of dates for math and format change                      
headoff    	full wiki entry  	   	removes the head from both table and list files                         
jointable  	testcase prepared	   	joins two tables into one where keys match                              
julian     	testcase prepared	*  	convert column of dates for math and format change                      
justify    	empty            	   	                                                                        
listtotable	full wiki entry  	   	for converting from list to table format                                
lock       	empty            	   	                                                                        
ncolumn    	full wiki entry  	*  	removes columns, "Not Column"                                           
not        	empty            	   	                                                                        
project    	empty            	   	                                                                        
rename     	full wiki entry  	*  	change column names in head line                                        
replace    	empty            	   	                                                                        
report     	empty            	   	                                                                        
row        	empty            	*  	makes new table where rows match logical condition                      
rowhas     	empty            	   	                                                                        
rowis      	empty            	   	                                                                        
rowisnot   	empty            	   	                                                                        
schema     	full wiki entry  	   	lists the database dictionary from table                                
see        	empty            	   	                                                                        
sorttable  	empty            	*  	sorts a table by one or more columns                                    
tableorlist	full wiki entry  	*  	reports if a file is list, first character is a newline, or table if not
tabletolist	full wiki entry  	   	converts a file from table to list format                               
todaysdate 	code captured    	   	output the current date in the c,e,i,u format                           
union      	empty            	   	                                                                        
width      	empty            	   	                                                                        
word       	empty            	   	                                                                        
