latest	author          	book                                                
------	------          	----                                                
200704	Clive Cussler   	The Wrecker                                         
200703	Stacey Abrams   	Our Time is Now                                     
200704	Zena Hitz       	Lost in Thought                                     
200702	Tara Westover   	Educated: A Memoir                                  
200629	Madeline Miller 	Circe                                               
200704	Booth Tarkington	LOA, ~ Novels and Stories                           
200302	Vasily Grossman 	Life and Fate                                       
200702	Bill ~McKibben  	Falter: Has the Human Game Begun to Play Itself Out?
190508	Sinclair Lewis  	It Can't Happen Here                                
190630	Alistair Cooke  	Six Men                                             
